Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2011-01-01
Data Final: 2023-10-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-01-01;13;1001.1625;23.1875;32.6;27.095833;24;81.041667;51;7.3;1.3375;
2011-01-02;1.8;1001.1875;23.620833;31.5;26.283333;24.2;86.375;56;8;1.520833;
2011-01-03;9.2;1000.470833;23.408333;31.6;26.3875;24.3;84.958333;56;6.8;1.708333;
2011-01-04;0;1000.954167;22.0125;32.3;27.604167;24.5;73.625;47;7.8;2.129167;
2011-01-05;0;1002.354167;23.133333;29.8;25.545833;25.2;87.333333;59;8.5;1.433333;
2011-01-06;16;1003.104167;22.483333;30.3;25.470833;22.7;85.125;58;6.4;1.7;
2011-01-07;.2;1002.258333;22.270833;31.5;26.583333;23.5;78.25;56;10.2;1.0875;
2011-01-08;.2;1003.5375;23.033333;27.8;24.15;23.3;93.708333;70;10.8;1.141667;
2011-01-09;23.8;1002.445833;22.520833;31.8;26.479167;21.5;81.125;53;7.1;1.320833;
2011-01-10;0;1002.420833;22.829167;33.3;27.029167;24;79.041667;51;15.7;.9875;
2011-01-11;12.4;1001.9875;21.925;33.3;28.116667;22.4;70.916667;45;8.9;1.65;
2011-01-12;0;1002.025;21.25;33.4;28.895833;24.8;64.458333;45;8.8;1.7375;
2011-01-13;0;1002.108333;23.029167;31.7;27.358333;25.4;78.041667;55;9.3;1.4875;
2011-01-14;35;1002.170833;24.108333;31.1;27.108333;22.8;84.791667;60;11.9;1.104167;
